"ADM0_A3","initial","annual"
"IDN",1034,67
"MYS",1034,67
"CHL",716,54
"BOL",716,54
"PER",716,54
"ARG",716,54
"ESB",1034,67
"CYP",1034,67
"IND",778,21
"CHN",245,6
"ISR",1034,67
"PSX",1034,67
"LBN",1034,67
"ETH",1104,116
"SDS",1104,116
"SOM",1104,116
"KEN",1104,116
"PAK",1034,67
"MWI",1104,116
"TZA",1104,116
"SYR",1034,67
"SOL",1104,116
"FRA",1068,93
"SUR",716,54
"GUY",716,54
"KOR",1034,67
"PRK",1034,67
"MAR",1104,116
"SAH",1104,116
"CRI",394,41
"NIC",394,41
"COG",1104,116
"COD",1104,116
"BTN",1034,67
"UKR",1068,93
"BLR",1068,93
"NAM",1104,116
"ZAF",1104,116
"MAF",1034,67
"SXM",1034,67
"OMN",1034,67
"UZB",1034,67
"KAZ",1034,67
"TJK",1034,67
"LTU",1068,93
"BRA",716,54
"URY",716,54
"MNG",1034,67
"RUS",123,2
"CZE",1068,93
"DEU",1068,93
"EST",1068,93
"LVA",1068,93
"NOR",1068,93
"SWE",1068,93
"FIN",1068,93
"VNM",1034,67
"KHM",1034,67
"LUX",1068,93
"ARE",1034,67
"BEL",1068,93
"GEO",1034,67
"MKD",1068,93
"ALB",1068,93
"AZE",1034,67
"KOS",1068,93
"TUR",1034,67
"ESP",1068,93
"LAO",1034,67
"KGZ",1034,67
"ARM",1034,67
"DNK",1068,93
"LBY",1104,116
"TUN",1104,116
"ROU",1068,93
"HUN",1068,93
"SVK",1068,93
"POL",1068,93
"IRL",1068,93
"GBR",1068,93
"GRC",1068,93
"ZMB",1104,116
"SLE",1104,116
"GIN",1104,116
"LBR",1104,116
"CAF",1104,116
"SDN",1104,116
"DJI",1104,116
"ERI",1104,116
"AUT",1068,93
"IRQ",1034,67
"ITA",1068,93
"CHE",1068,93
"IRN",1034,67
"NLD",1068,93
"LIE",1068,93
"CIV",1104,116
"SRB",1068,93
"MLI",1104,116
"SEN",1104,116
"NGA",1104,116
"BEN",1104,116
"AGO",1104,116
"HRV",1068,93
"SVN",1068,93
"QAT",1034,67
"SAU",1034,67
"BWA",1104,116
"ZWE",1104,116
"BGR",1068,93
"THA",1034,67
"SMR",1068,93
"HTI",1034,67
"DOM",1034,67
"TCD",1104,116
"KWT",1034,67
"SLV",394,41
"GTM",394,41
"TLS",1034,67
"BRN",1034,67
"MCO",1068,93
"DZA",1104,116
"MOZ",1104,116
"SWZ",1104,116
"BDI",1104,116
"RWA",1104,116
"MMR",1034,67
"BGD",1034,67
"AND",1068,93
"AFG",1034,67
"MNE",1068,93
"BIH",1068,93
"UGA",1104,116
"USG",1034,67
"CUB",1034,67
"HND",394,41
"ECU",716,54
"COL",716,54
"PRY",716,54
"PRT",1068,93
"MDA",1068,93
"TKM",1034,67
"JOR",1034,67
"NPL",1034,67
"LSO",1104,116
"CMR",1104,116
"GAB",1104,116
"NER",1104,116
"BFA",1104,116
"TGO",1104,116
"GHA",1104,116
"GNB",1104,116
"GIB",1068,93
"USA",2277,42
"CAN",2277,42
"MEX",394,41
"BLZ",394,41
"PAN",394,41
"VEN",716,54
"PNG",1897,12
"EGY",1104,116
"YEM",1034,67
"MRT",1104,116
"GNQ",1104,116
"GMB",1104,116
"HKG",1034,67
"VAT",1068,93
"CYN",1034,67
"CNM",1034,67
"KAS",1034,67
"KAB",1034,67
"WSB",1034,67
"AUS",1897,12
"GRL",2277,42
"FJI",1897,12
"NZL",1897,12
"NCL",1897,12
"MDG",1104,116
"PHL",1034,67
"LKA",1034,67
"CUW",1034,67
"ABW",1034,67
"BHS",1034,67
"TCA",1034,67
"TWN",1034,67
"JPN",1034,67
"SPM",2277,42
"ISL",1068,93
"PCN",1897,12
"PYF",1897,12
"ATF",1034,67
"SYC",1104,116
"KIR",1897,12
"MHL",1897,12
"TTO",1034,67
"GRD",1034,67
"VCT",1034,67
"BRB",1034,67
"LCA",1034,67
"DMA",1034,67
"UMI",1034,67
"MSR",1034,67
"ATG",1034,67
"KNA",1034,67
"VIR",1034,67
"BLM",1034,67
"PRI",1034,67
"AIA",1034,67
"VGB",1034,67
"JAM",1034,67
"CYM",1034,67
"BMU",2277,42
"HMD",1034,67
"SHN",1104,116
"MUS",1104,116
"COM",1104,116
"STP",1104,116
"CPV",1104,116
"MLT",1068,93
"JEY",1068,93
"GGY",1068,93
"IMN",1068,93
"ALD",1068,93
"FRO",1068,93
"IOA",1034,67
"IOT",1034,67
"SGP",1034,67
"NFK",1897,12
"COK",1897,12
"TON",1897,12
"WLF",1897,12
"WSM",1897,12
"SLB",1897,12
"TUV",1897,12
"MDV",1034,67
"NRU",1897,12
"FSM",1897,12
"SGS",1034,67
"FLK",716,54
"VUT",1897,12
"NIU",1897,12
"ASM",1897,12
"PLW",1897,12
"GUM",1897,12
"MNP",1897,12
"BHR",1034,67
"CSI",1897,12
"PGA",1034,67
"CLP",394,41
"MAC",1034,67
"ATC",1897,12
"BJN",1034,67
"SER",1034,67
"SCR",1034,67
