"ADM0_A3","energy"
"IDN",0.201
"MYS",0.201
"CHL",0.052
"BOL",0.052
"PER",0.052
"ARG",0.052
"ESB",0.201
"CYP",0.201
"IND",0.201
"CHN",0.214
"ISR",0.201
"PSX",0.201
"LBN",0.201
"ETH",0.171
"SDS",0.171
"SOM",0.171
"KEN",0.171
"PAK",0.201
"MWI",0.171
"TZA",0.171
"SYR",0.201
"SOL",0.171
"FRA",0.081
"SUR",0.052
"GUY",0.052
"KOR",0.201
"PRK",0.201
"MAR",0.171
"SAH",0.171
"CRI",0.131
"NIC",0.131
"COG",0.171
"COD",0.171
"BTN",0.201
"UKR",0.081
"BLR",0.081
"NAM",0.171
"ZAF",0.171
"MAF",0.131
"SXM",0.131
"OMN",0.201
"UZB",0.201
"KAZ",0.201
"TJK",0.201
"LTU",0.081
"BRA",0.052
"URY",0.052
"MNG",0.201
"RUS",0.116
"CZE",0.081
"DEU",0.081
"EST",0.081
"LVA",0.081
"NOR",0.081
"SWE",0.081
"FIN",0.081
"VNM",0.201
"KHM",0.201
"LUX",0.081
"ARE",0.201
"BEL",0.081
"GEO",0.201
"MKD",0.081
"ALB",0.081
"AZE",0.201
"KOS",0.081
"TUR",0.201
"ESP",0.081
"LAO",0.201
"KGZ",0.201
"ARM",0.201
"DNK",0.081
"LBY",0.171
"TUN",0.171
"ROU",0.081
"HUN",0.081
"SVK",0.081
"POL",0.081
"IRL",0.081
"GBR",0.081
"GRC",0.081
"ZMB",0.171
"SLE",0.171
"GIN",0.171
"LBR",0.171
"CAF",0.171
"SDN",0.171
"DJI",0.171
"ERI",0.171
"AUT",0.081
"IRQ",0.201
"ITA",0.081
"CHE",0.081
"IRN",0.201
"NLD",0.081
"LIE",0.081
"CIV",0.171
"SRB",0.081
"MLI",0.171
"SEN",0.171
"NGA",0.171
"BEN",0.171
"AGO",0.171
"HRV",0.081
"SVN",0.081
"QAT",0.201
"SAU",0.201
"BWA",0.171
"ZWE",0.171
"BGR",0.081
"THA",0.201
"SMR",0.081
"HTI",0.131
"DOM",0.131
"TCD",0.171
"KWT",0.201
"SLV",0.131
"GTM",0.131
"TLS",0.201
"BRN",0.201
"MCO",0.081
"DZA",0.171
"MOZ",0.171
"SWZ",0.171
"BDI",0.171
"RWA",0.171
"MMR",0.201
"BGD",0.201
"AND",0.081
"AFG",0.201
"MNE",0.081
"BIH",0.081
"UGA",0.171
"USG",0.131
"CUB",0.131
"HND",0.131
"ECU",0.052
"COL",0.052
"PRY",0.052
"PRT",0.081
"MDA",0.081
"TKM",0.201
"JOR",0.201
"NPL",0.201
"LSO",0.171
"CMR",0.171
"GAB",0.171
"NER",0.171
"BFA",0.171
"TGO",0.171
"GHA",0.171
"GNB",0.171
"GIB",0.081
"USA",0.131
"CAN",0.131
"MEX",0.131
"BLZ",0.131
"PAN",0.131
"VEN",0.052
"PNG",0.142
"EGY",0.171
"YEM",0.201
"MRT",0.171
"GNQ",0.171
"GMB",0.171
"HKG",0.201
"VAT",0.081
"CYN",0.201
"CNM",0.201
"KAS",0.201
"KAB",0.201
"WSB",0.201
"ATA",NA
"AUS",0.238
"GRL",0.131
"FJI",0.142
"NZL",0.043
"NCL",0.142
"MDG",0.171
"PHL",0.201
"LKA",0.201
"CUW",0.131
"ABW",0.131
"BHS",0.131
"TCA",0.131
"TWN",0.201
"JPN",0.123
"SPM",0.131
"ISL",0.081
"PCN",0.142
"PYF",0.142
"ATF",NA
"SYC",NA
"KIR",0.142
"MHL",0.142
"TTO",0.131
"GRD",0.131
"VCT",0.131
"BRB",0.131
"LCA",0.131
"DMA",0.131
"UMI",0.131
"MSR",0.131
"ATG",0.131
"KNA",0.131
"VIR",0.131
"BLM",0.131
"PRI",0.131
"AIA",0.131
"VGB",0.131
"JAM",0.131
"CYM",0.131
"BMU",0.131
"HMD",NA
"SHN",NA
"MUS",NA
"COM",0.171
"STP",0.171
"CPV",0.171
"MLT",0.081
"JEY",0.081
"GGY",0.081
"IMN",0.081
"ALD",0.081
"FRO",0.081
"IOA",0.201
"IOT",NA
"SGP",0.201
"NFK",0.142
"COK",0.142
"TON",0.142
"WLF",0.142
"WSM",0.142
"SLB",0.142
"TUV",0.142
"MDV",NA
"NRU",0.142
"FSM",0.142
"SGS",NA
"FLK",0.052
"VUT",0.142
"NIU",0.142
"ASM",0.142
"PLW",0.142
"GUM",0.142
"MNP",0.142
"BHR",0.201
"CSI",0.142
"PGA",0.201
"CLP",NA
"MAC",0.201
"ATC",0.142
"BJN",0.131
"SER",0.131
"SCR",0.201
