ADM0_A3,Diesel,Fuel
ZWE,1.4,1.52
ZMB,1.48,1.48
ZAF,1.42,1.38
YEM,0.47,0.58
WSM,0.85,0.86
WSB,1.78,1.77
WLF,0.85,0.86
VUT,1.29,1.41
VNM,1.06,1.15
VIR,1.35,1.58
VGB,1.35,1.58
VEN,0.011,0.023
VCT,1.07,1.4
VAT,2.18,2.28
UZB,0.87,1.02
USG,1.3,1.4
USA,1.05,0.97
URY,1.88,1.97
UMI,1.19,1.2
UKR,1.25,1.35
UGA,1.35,1.42
TZA,1.27,1.31
TWN,1.19,1.19
TUV,1.29,1.41
TUR,2.33,2.54
TUN,0.69,0.93
TTO,1.07,1.4
TON,0.85,0.86
TLS,1.43,1.65
TKM,0.2,0.22
TJK,0.91,1.45
THA,0.97,1.56
TGO,1.22,1.16
TCD,1.16,0.95
TCA,1.35,1.58
SYR,0.36,0.79
SYC,1.22,1.49
SXM,1.07,1.4
SWZ,1.34,1.3
SWE,2.16,2.1
SVN,1.77,1.86
SVK,1.85,1.98
SUR,1.52,1.57
STP,0.91,1.04
SRB,1.8,1.78
SPM,1.35,1.58
SOM,1.1,1.21
SOL,1.073333333,1.336666667
SMR,2.18,2.28
SLV,1.17,1.26
SLE,1.05,1.05
SLB,1.29,1.41
SHN,1.22,1.17
SGS,1.88,1.97
SGP,1.26,1.68
SER,1.19,1.2
SEN,1.53,1.72
SDS,1.97,1.97
SDN,0.51,0.75
SCR,1.01,1.25
SAU,0.067,0.16
SAH,0.8,1.046666667
RWA,1.73,1.73
RUS,1,0.99
ROU,1.73,1.7
QAT,0.27,0.27
PYF,0.85,0.86
PSX,1.68,1.87
PRY,1.31,1.74
PRT,1.89,2.15
PRK,1.31,0.76
PRI,1.35,1.58
POL,1.73,1.74
PNG,0.47,0.47
PLW,1.01,1.25
PHL,1.01,1.25
PGA,0.26,0.43
PER,1.41,1.63
PCN,0.29,0.58
PAN,1.02,1.05
PAK,1.2,1.14
OMN,0.38,0.31
NZL,1.24,1.77
NRU,1.29,1.41
NPL,1.09,1.44
NOR,2.35,2.53
NLD,1.95,2.33
NIU,0.85,0.86
NIC,1.19,1.23
NGA,1.09,0.62
NFK,1.29,1.41
NER,1.12,1.12
NCL,1.29,1.41
NAM,1.31,1.24
MYS,0.59,0.62
MWI,1.9,1.93
MUS,1.38,1.65
MSR,1.07,1.4
MRT,1.27,1.43
MOZ,1.23,1.58
MNP,1.61,2
MNG,1.22,1.29
MNE,1.75,1.82
MMR,0.8,1.04
MLT,1.75,1.92
MLI,1.25,1.41
MKD,1.55,1.75
MHL,1.29,1.41
MEX,0.85,0.86
MDV,1.09,1.1
MDG,1.22,1.49
MDA,1.4,1.42
MCO,2.04,2.23
MAR,0.96,1.42
MAF,1.07,1.4
MAC,1.57,2.16
LVA,1.77,1.8
LUX,1.64,1.64
LTU,1.7,1.83
LSO,1.31,1.24
LKA,0.93,1.29
LIE,2.06,1.88
LCA,1.07,1.4
LBY,0.1,0.12
LBR,1.22,1.17
LBN,0.94,1.11
LAO,1.18,1.33
KWT,0.2,0.23
KOS,1.6,1.65
KOR,1.63,1.8
KNA,1.07,1.4
KIR,1.29,1.41
KHM,1.27,1.35
KGZ,0.8,0.89
KEN,1.26,1.37
KAZ,0.67,1.01
KAS,1.113333333,1.253333333
KAB,0.67,1.01
JPN,1.61,2
JOR,0.97,1.44
JEY,2.27,2.17
JAM,1.19,1.2
ITA,2.18,2.28
ISR,2.12,2.01
ISL,2.06,1.99
IRQ,0.911571429,1.147142857
IRN,0.124,0.33
IRL,1.98,2.02
IOT,1.09,1.1
IOA,1.26,1.68
IND,0.86,1.25
IMN,2.27,2.17
IDN,0.47,0.47
HUN,1.91,1.84
HTI,1.03,1.25
HRV,1.7,1.77
HND,1.15,1.25
HMD,1.38,1.65
HKG,1.57,2.16
GUY,1.05,1.08
GUM,1.01,1.25
GTM,1.04,1.14
GRL,2.06,1.99
GRD,1.07,1.4
GRC,2.08,2.06
GNQ,0.96,1.07
GNB,1.435,1.53
GMB,1.53,1.72
GIN,1.34,1.34
GIB,1.75,1.75
GHA,0.95,0.92
GGY,2.27,2.17
GEO,1.37,1.34
GBR,2.27,2.17
GAB,0.91,1.04
FSM,1.01,1.25
FRO,2.27,2.17
FRA,1.78,1.91
FLK,1.33,1.46
FJI,1.29,1.41
FIN,1.95,2.08
ETH,0.94,1.05
EST,1.76,1.76
ESP,1.75,1.75
ESB,1.78,1.77
ERI,1.71,2.49
EGY,0.18,0.45
ECU,0.29,0.58
DZA,0.17,0.29
DOM,1.35,1.58
DNK,1.89,2.02
DMA,1.07,1.4
DJI,1.18,1.75
DEU,1.88,1.96
CZE,1.87,1.93
CYP,1.78,1.77
CYN,1.78,1.77
CYM,1.3,1.4
CUW,0.011,0.023
CUB,1.3,1.4
CSI,1.29,1.41
CRI,1.36,1.57
CPV,1.58,2.3
COM,1.22,1.49
COL,1.18,1.28
COK,0.85,0.86
COG,0.92,1.15
COD,1.48,1.48
CNM,1.78,1.77
CMR,1.01,1.1
CLP,0.85,0.86
CIV,1.2,1.51
CHN,1.28,1.37
CHL,1.24,1.56
CHE,2.06,1.88
CAN,1.23,1.32
CAF,1.69,1.71
BWA,1.25,1.23
BTN,0.86,1.19
BRN,0.26,0.43
BRB,1.07,1.4
BRA,1.02,1.39
BOL,0.54,0.7
BMU,1.35,1.58
BLZ,1.21,1.44
BLR,0.9,0.88
BLM,1.07,1.4
BJN,1.19,1.2
BIH,1.62,1.59
BHS,1.3,1.4
BHR,0.17,0.27
BGR,1.68,1.69
BGD,0.76,1.15
BFA,1.28,1.43
BEN,1.26,1.24
BEL,1.98,2.09
BDI,1.47,1.47
AZE,0.57,0.76
AUT,1.81,1.81
AUS,1.57,1.39
ATG,1.07,1.4
ATF,1.22,1.49
ATC,1.43,1.65
ASM,0.85,0.86
ARM,1.15,1.25
ARG,1.33,1.46
ARE,0.64,0.47
AND,1.48,1.67
ALD,2.16,2.1
ALB,1.79,1.81
AIA,1.07,1.4
AGO,0.42,0.63
AFG,1.21,1.28
ABW,1.35,1.58
