"group","Maize","Soybeans","Wheat"
"ANZ",0.7,0.71,0.27
"Balkans",0.18,0.42,0.21
"Baltic",0.19,0.61,0.21
"Brazil",0.19,0.41,0.23
"Canada",0.18,0.45,0.26
"China",0.65,0.67,0.33
"Congo basin",0.42,1.42,0.23
"Continental SEA",0.24,0.54,0.33
"East Africa",0.26,0.58,0.27
"East Europe",0.18,0.43,0.21
"Former USSR",0.18,0.4,0.19
"India",0.25,0.7,0.26
"Insular SEA",0.24,0.52,0.3
"Japan",0.2,0.5,0.27
"Mexico",0.2,0.4,0.24
"Mid. east, North Africa",0.22,0.51,0.24
"North Europe",1.15,0.68,0.23
"Pacific islands",2.15,0.91,0.32
"Rest of Centr. America",0.32,0.89,0.71
"Rest of Europe",0.21,1.15,0.24
"Rest of South Africa",0.23,0.86,0.28
"Rest of South America",0.2,0.64,0.25
"Rest of South Asia",0.73,0.63,0.23
"South Africa",0.2,0.41,0.22
"South Europe",0.24,0.8,0.23
"South Korea",0.2,0.46,0.25
"Turkey",0.21,0.41,0.22
"United States",0.2,0.42,0.27
"West Africa",0.32,0.55,0.24
"West Europe",0.37,1.33,0.23
NA,NA,NA,NA
