ADM0_A3,PPP
AFG,16.71
ALB,55.65
DZA,38.74
AND,0.66
AGO,70.5
ATG,2.07
ARG,1.35
ARM,196.19
AUS,1.46
AUT,0.89
AZE,0.35
BHR,0.32
BJN,1191.74
BGD,25.49
BRB,1.43
BLR,759.62
BEL,0.92
BLZ,1.46
BEN,275.19
BTN,18.46
BOL,2.57
BIH,0.87
BWA,3.38
BRA,1.57
BRN,1.08
BGR,0.73
BFA,242.42
BDI,447.04
CPV,78.17
KHM,1615.3
CMR,294.5
CAN,1.26
CAF,307.47
TCD,327.57
CHL,387.36
CHN,4.09
COL,1191.74
COM,294.41
CRI,278.96
HRV,4.42
CUB,0.32
CYP,0.77
CNM,0.77
CZE,15.04
COD,316.23
DNK,9.08
DJI,107.81
DMA,1.79
DOM,20.4
TLS,0.49
ECU,0.5
EGY,2.02
SLV,0.55
GNQ,436.29
ERI,6.73
EST,0.56
SWZ,3.73
ETH,2.75
FSM,0.66
FJI,1.55
FIN,1.07
FRA,0.94
GAB,443.75
GMB,10.34
GEO,0.78
DEU,0.9
GHA,0.45
GRC,0.77
GRD,2.04
GTM,4.54
GIN,1479.57
GNB,284.28
GUY,105.17
HTI,19.37
HND,9.66
HUN,136.48
ISL,104.18
IND,15.6
IDN,4192.83
IRN,2714.82
IRQ,639.87
IRL,1.07
ISR,4.07
ITA,0.91
CIV,325.81
JAM,43.36
JPN,142.94
JOR,0.49
KAS,15.6
KAZ,64.96
KEN,32.68
KIR,0.68
KOS,0.33
KWT,0.28
KGZ,13
LAO,3741.62
LVA,0.49
LBN,1107.12
LSO,3.43
LBR,0.51
LBY,0.85
LIE,0.89
LTU,0.48
LUX,0.97
MKD,23.03
MDG,756.38
MWI,56.92
MYS,2.11
MDV,9.74
MLI,289.68
MLT,0.63
MHL,0.91
MRT,125.67
MUS,17.73
MEX,7.65
MDA,4.83
MCO,0.94
MNG,522.49
MNE,0.48
MAR,5.51
MOZ,11.63
MMR,266.32
NAM,5.06
NRU,0.78
NPL,26.47
NLD,0.91
NZL,1.6
NIC,7.3
NER,267.33
NGA,78.58
PRK,879.37
CYN,0.63
NOR,9.78
OMN,0.29
PAK,20.71
PLW,0.68
PAN,0.61
PNG,1.69
PRY,2127.8
PER,1.65
PHL,24.18
POL,2.13
PRT,0.74
QAT,3.64
SRB,33.59
COG,375.57
ROU,1.71
RUS,13.39
RWA,236.75
KNA,2.16
LCA,1.9
VCT,1.78
WSM,1.87
SMR,0.91
STP,6363.13
SAU,2.9
SCR,24.18
SEN,298.24
SER,1191.74
SYC,4.5
SLE,1396.21
SGP,1.47
SVK,0.62
SVN,0.66
SLB,6.94
SOM,50
SOL,50
ZAF,4.57
KOR,879.37
SDS,1.24
ESP,0.79
PGA,1.45
LKA,40.04
SDN,1.24
SUR,1.83
SWE,9.6
CHE,1.85
SYR,24.65
TWN,3.55
TJK,0.93
THA,17.47
BHS,0.89
TGO,282.26
TON,1.31
TTO,4.61
TUN,0.7
TUR,0.97
TKM,0.95
TUV,1.17
UGA,744.62
UKR,1.71
ARE,2.7
GBR,0.65
TZA,482.45
USA,1
URY,15.31
UZB,376.07
VUT,69.37
VAT,0.72
VEN,1.25
VNM,5919.89
SAH,3.57
YEM,91.06
ZMB,2.83
ZWE,0.55
